t=2026-01-10T13:05:39+0100 lvl=info msg="no configuration paths supplied"
t=2026-01-10T13:05:39+0100 lvl=warn msg="ngrok config file found at legacy location, move to XDG location" xdg_path="/Users/fabulous/Library/Application Support/ngrok/ngrok.yml" legacy_path=/Users/fabulous/.ngrok2/ngrok.yml
t=2026-01-10T13:05:39+0100 lvl=info msg="using configuration at default config path" path=/Users/fabulous/.ngrok2/ngrok.yml
t=2026-01-10T13:05:39+0100 lvl=info msg="open config file" path=/Users/fabulous/.ngrok2/ngrok.yml err=nil
t=2026-01-10T13:05:39+0100 lvl=info msg="starting web service" obj=web addr=127.0.0.1:4040 allow_hosts=[]
t=2026-01-10T13:05:40+0100 lvl=info msg="client session established" obj=tunnels.session
t=2026-01-10T13:05:40+0100 lvl=info msg="tunnel session started" obj=tunnels.session
t=2026-01-10T13:27:52+0100 lvl=info msg="join connections" obj=join id=6b63424d6b60 l=[::1]:3000 r=102.90.79.239:16364
t=2026-01-10T13:27:52+0100 lvl=info msg="join connections" obj=join id=85ec98c05468 l=[::1]:3000 r=102.90.79.239:16364
t=2026-01-10T13:27:52+0100 lvl=info msg="join connections" obj=join id=d2552cb8a18c l=[::1]:3000 r=102.90.79.239:16364
t=2026-01-10T13:27:52+0100 lvl=info msg="join connections" obj=join id=eec97ce0e5dd l=[::1]:3000 r=102.90.79.239:16364
t=2026-01-10T13:27:52+0100 lvl=info msg="join connections" obj=join id=607c50f4a172 l=[::1]:3000 r=102.90.79.239:16364
t=2026-01-10T13:27:52+0100 lvl=info msg="join connections" obj=join id=2ffbce509ffb l=[::1]:3000 r=102.90.79.239:16364
t=2026-01-10T13:27:52+0100 lvl=info msg="join connections" obj=join id=664f011aff27 l=[::1]:3000 r=102.90.79.239:16364
t=2026-01-10T13:27:52+0100 lvl=info msg="join connections" obj=join id=eaebceb63bba l=[::1]:3000 r=102.90.79.239:16364
t=2026-01-10T13:27:52+0100 lvl=info msg="join connections" obj=join id=2ec76878fd5f l=[::1]:3000 r=102.90.79.239:16364
t=2026-01-10T13:27:52+0100 lvl=info msg="join connections" obj=join id=04f72102c44a l=[::1]:3000 r=102.90.79.239:16364
